"ID"	"우선순위"	"유형"	"확인수준"	"수정위치"	"원문위치"	"문제"	"원문발췌"	"수정안_필요근거"	"보존할내용"	"im-not-ai규칙"
"MD-08"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1096; experiments/model-selection.md:1098"	"공개된 초소형 호출 20~28초와 C11=5초의 비는 4~5.6배다. “raw 지연만으로 10배 이상”은 제시된 수치와 맞지 않는다."	"raw 지연만으로 C11(5초)을 10배 이상 초과한다"	"원시 6콜의 raw·timeout·wall time를 확인한다. 50초 이상 raw 근거가 없다면 정정 기록을 남기고 “공개된 20~28초 호출은 C11(5초)의 4~5.6배였다”로 고친다. 초소형 프로브 지연을 실제 advisor p95로 부르지 않는다."	"20~28초·C11 5초·503·30초 타임아웃·6콜/131초·무료 운영 후보 제외 이력"	""
"MD-12"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1120; experiments/model-selection.md:1128; experiments/model-selection.md:1132; experiments/model-selection.md:1144; experiments/model-selection.md:1148; experiments/model-selection.md:1226; experiments/model-selection.md:1261; experiments/model-selection.md:1318; experiments/model-selection.md:1458; experiments/model-selection.md:1473; experiments/model-selection.md:1479"	"E6 표의 items는 5항목 통과 개수인데 항목3은 판정 제외라고 한다. 판정 축 4개·5/5 절대 축·후기 4/5 게이트가 함께 쓰여 같은 숫자가 같은 기준처럼 보인다. 각 rate·D3·누설·스키마의 분모도 표에서 빠졌다."	"항목 3(3턴 망각)은 판정 축이 아니라 관측치다"	"표 주석에 rate=해당 항목 통과 응답/n, items=5개 관측 항목 중 기준을 넘은 수, 실제 선택 게이트의 항목 목록을 분리한다. D3 전원일치의 응답 수, 누설 0/몇 회, 스키마 성공/시도 수도 적는다. A.12의 5항목 전부≥0.7과 A.19의 4/5 기준이 언제·왜 바뀌었는지 문서화한다."	"모든 rate·items 값·0.7 임계값·망각 항목의 당시 지위·변경 시점"	""
"MD-13"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1142"	"A.12 정책 OFF 표는 모델 5개인데 해석은 OFF 10셀이라고 한다. ON/OFF 전체 10셀과 OFF 5셀을 혼동한 것으로 보인다."	"OFF 10셀 중 collapse=none이 없다."	"러너의 ON/OFF 조건 수를 확인하고 OFF가 표의 5개라면 “OFF 5셀 중 collapse=none은 없었다”로 정정한다. 10은 ON/OFF 전체 조건 수로만 남긴다."	"5모델·ON/OFF 전체 10셀·각 모델의 collapse 분류"	""
"MD-14"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1142; experiments/model-selection.md:1144; experiments/model-selection.md:1781"	"“자연히 7세인 크기 없음”, “프롬프트가 살릴 수 있는 하한이 2B와 4B 사이”는 제한된 모델·문항·프롬프트 결과를 일반적인 연령 능력과 크기 인과로 확장한다. 실제 아동 검증이 아니라 운영 정의를 검사한 실험이다."	"프롬프트가 살릴 수 있는 하한이 2B와 4B 사이에 있다."	"“이번 qwen3.5 후보·정책·문항에서 2B는 기준에 미달했고 4B는 통과했다. 두 크기 사이는 측정하지 않았다”로 범위를 좁힌다. “7세/3세/어른화”는 실험의 행동 분류 이름임을 명시한다. 하한·연령 일반화는 별도 실증이 필요하다."	"모델 크기·패밀리·ON/OFF 관측·정책과 하네스 조건·사용자 정의의 역사"	""
"MD-23"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1246; experiments/model-selection.md:1259; experiments/model-selection.md:1261; experiments/model-selection.md:1268"	"A.15는 기존 모델 ON 항목2만 v2로 재판정했고 OFF는 v1이라고 명시한다. A.16은 ON/OFF 전체가 v2인데 “기존 셀과 비교 가능”을 포괄적으로 쓴다."	"A.15 재판정과 동일 기준이라 기존 셀과 비교 가능"	"“정책 ON의 항목2는 A.15 v2 재판정과 비교 가능하다. 기존 OFF는 v1이므로 OFF의 직접 비교는 제한한다”로 범위를 명시한다. 정책 ON/OFF 차이를 모델 간 비교하려면 기준을 통일한 재판정이 필요하다."	"ON/OFF 원자료·응답 재생성 여부·v2 적용 범위·n=5"	""
"MD-24"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1266; experiments/model-selection.md:1268; experiments/model-selection.md:1293; experiments/model-selection.md:1781"	"두 exaone 크기의 제한된 조건에서 나온 실패를 “패밀리 성질로 확인”이라고 일반화한다. A.16의 “처음 나온 양방향 프로필”도 A.12 exaone7.8b의 사실0.60·왜0.40·문자0.40과 대조해야 한다."	"어른화는 크기 하강으로 사라지지 않았다 — exaone 패밀리 성질로 확인."	"“이번 조건에서 시험한 exaone 7.8B와 2.4B 모두 어른화 관련 항목에 미달했다”로 관측 범위를 제한한다. “처음”을 남기려면 양방향 정의와 기존7.8b 제외 이유를 제시한다. 변경 이력의 동일 일반화도 함께 정정하되 당시 해석이었다는 기록을 남긴다."	"두 크기의 수치·측정 조건·후보 부적격 결정·역사 이력"	""
"MD-27"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1308; experiments/model-selection.md:1310; experiments/model-selection.md:1312; experiments/model-selection.md:1346; experiments/model-selection.md:1781"	"라이선스 기록이 “연구 전용 확정”, “상업 가능”, “문제없음”으로 압축되어 어떤 버전의 어떤 조항과 배포 조건을 확인했는지 본문에서 검증하기 어렵다. 이번 읽기 검토는 현재 법적 허용 여부를 재판정하지 않는다."	"Core `gemma4:12b`·`gemma4:e4b`는 **Apache 2.0(Gemma 4부터)** — 문제없음."	"2026-09-14 조사 당시의 모델별 공식 LICENSE URL·리비전/열람일·해당 조항·적용 범위를 붙인다. 원문 인용은 그대로 보존하고 “이 조사에서는 ○조건의 배포 후보로 분류했다”처럼 당시 결정과 해석임을 표시한다. 이후 EXAONE 롤백은 연구·개발용이라는 본문의 제한도 연결한다."	"라이선스명·당시 조사·직접 인용·상업 배포 후보 제외 및 채택 이력"	""
"MD-29"	"높음"	"수치·정의"	"연결된 원시 자료 대조"	"정본"	"experiments/model-selection.md:1330; com.remakeday/docs/review-verification/2026-09-14-npc-descent/npc-quality-ab-20260914T112712Z.json:summary; docs/reviews/full-audit/raw-evidence.json#RAW-06"	"25쌍 A/B 표에서 페르소나7+4+13=24, 관련성14+5+5=24다. 두 행의 한 건씩이 어느 범주인지 빠져 있다. 원시 summary에서도 두 행 각각 ties=1이 확인됐다."	"| 페르소나 적합 | 7 | 4 | 13 |"	"무승부 열을 복원해 페르소나 7/4/1/13, 관련성 14/5/1/5(승/패/무승부/무효)로 보고한다. 자연스러움·7세 말투의 무승부는 0이다. 모든 행 합계 25를 검산한다."	"25쌍·현재 승수·무효수·실제 무승부가 확인되면 그 값"	""
"MD-34"	"높음"	"수치·정의"	"연결된 원시 자료 대조"	"정본"	"experiments/model-selection.md:1389; experiments/model-selection.md:1396; experiments/model-selection.md:787; experiments/model-selection.md:941; docs/reviews/full-audit/raw-evidence.json#RAW-01"	"A.19 로컬 evaluator p50=2,918은 A.8의2,179와 다르며2,918은 A.6 advisor p50에도 나온다. 재측정 출처인지 역할 혼입인지 확인 전 숫자를 바꾸면 안 된다. RAW-01에서 연결된 advisor 원시 p50은 2,918ms, evaluator는 2,179ms임을 확인했다. 별도 새 기준선 의도는 아직 확인하지 않았다."	"| 로컬 기준 gemma4:12b-N | 0.90 | O | 0.57 | 4,231 | 2,918 | O | O |"	"로컬 기준행의 역할·실행파일·표본·통제세트를 원시 결과와 대조한다. 재측정이면 날짜와 출처를 추가하고 오기면 정정 이력을 남긴다. C13 합성값 및 외부모델 대비 지연 설명도 같은 기준으로 다시 계산한다."	"표의 모델·PCA·극성·eval·원 측정값·정정 근거"	""
"MD-35"	"높음"	"수치·정의"	"연결된 원시 자료 대조"	"정본"	"experiments/model-selection.md:1389; experiments/model-selection.md:1396; experiments/model-selection.md:1781; docs/reviews/full-audit/raw-evidence.json#RAW-05"	"표에는 Sonnet n=1/n=3와 Opus n=1만 있는데 본문과 변경이력은 “n=1·n=3 모두 Sonnet·Opus 둘 다PASS”라고 쓴다. 실행하지 않은 조건까지 포함한 것처럼 읽힌다. RAW-05의 연결된 두 파일도 n=1은 두 모델, n=3은 Sonnet만 포함한다. 다른 파일의 존재 여부는 단정하지 않는다."	"**PCA·극성·eval 게이트는 n=1·n=3
모두 Sonnet·Opus 둘 다 PASS**"	"추가 Opus n=3 원자료가 없으면 “Sonnet은 n=1·n=3에서, Opus는 n=1에서 PCA·극성·eval 게이트를 통과했다”로 정정한다. 모델별 반복단위 n과 실제 advisor/evaluator 호출 수도 함께 적는다."	"Sonnet n=1/n=3·Opus n=1 공개행·각PASS결과·66/42콜"	""
